,prod_0,prod_1,prod_2,prod_3,prod_4,prod_5,prod_6,prod_7,prod_8,prod_9,prod_10,prod_11,prod_12,prod_13,prod_14,prod_15,n_week,week_year,month_year
109,4337.0,3294.55,6645.29,3809.38,8649.27,3077.03,5505.35,3262.52,522820.11,712969.3,617229.06,443381.59,0.0,0.0,0.0,182866.75,110,2022-06,2022-02
110,0.0,413.13,0.0,476.95,12.5,0.0,339.53,100.7,115716.1,3549.71,0.0,0.0,0.0,0.0,0.0,3498.37,111,2022-07,2022-02
111,1936.91,4172.99,1098.61,1363.01,3510.99,1353.66,4309.48,1889.78,267533.63,577409.24,289323.2,339631.84,0.0,0.0,0.0,67970.37,112,2022-08,2022-02
112,3718.05,4460.97,2863.64,2194.85,2345.65,1814.19,710.61,1808.99,35525.05,179772.93,157701.48,84296.7,0.0,0.0,0.0,55781.54,113,2022-09,2022-03
113,3915.8,1634.88,4817.36,1911.64,5476.35,2342.8,1896.84,753.33,96328.11,227416.89,495189.99,91288.99,0.0,0.0,0.0,39037.08,114,2022-10,2022-03
114,1259.84,3066.02,4656.09,785.26,902.31,1529.55,1144.41,123.4,177067.26,318903.95,340898.27,239457.74,0.0,0.0,0.0,23569.18,115,2022-11,2022-03
115,2183.33,4283.34,4684.19,1664.51,3008.46,1223.71,3094.38,1330.74,328141.53,171572.05,622985.64,195079.15,0.0,0.0,0.0,54822.84,116,2022-12,2022-03
116,830.03,0.0,1286.46,400.95,3921.99,670.58,1222.82,132.15,122478.84,58911.68,-41442.71,58383.59,0.0,0.0,0.0,21826.97,117,2022-13,2022-03
117,2179.28,4601.95,2785.75,1033.24,12258.55,1273.92,3548.09,1723.87,513286.94,312732.7,508821.89,360017.75,0.0,0.0,0.0,57789.57,118,2022-14,2022-04
118,4604.46,2597.04,4785.54,1716.8,8553.78,1925.89,3494.35,2554.66,949317.19,1070004.12,1671681.5,675809.99,0.0,0.0,0.0,76945.55,119,2022-15,2022-04
119,6329.14,9812.27,10859.32,4772.57,16773.98,3835.03,5662.39,1734.98,1218653.57,1277075.74,1970361.22,733521.42,0.0,0.0,0.0,161647.26,120,2022-16,2022-04
120,4349.45,10129.29,10480.93,5733.61,13713.79,3221.96,7250.75,2926.7,87977.98,299768.32,292492.54,276937.15,0.0,0.0,0.0,222858.01,121,2022-17,2022-04
121,2292.11,1984.07,2688.47,321.36,4549.4,592.44,0.0,187.9,377338.66,427027.85,192776.05,85075.38,0.0,0.0,0.0,42466.21,122,2022-18,2022-05
122,3646.35,8592.53,16638.36,2460.27,10316.45,3974.36,2174.75,3392.52,1919570.45,2233594.53,3121187.88,1119348.41,0.0,0.0,0.0,247027.96,123,2022-19,2022-05
123,4170.96,2916.27,2670.83,1741.22,3349.51,1535.96,1882.46,1228.05,353694.76,636085.27,771601.98,72933.62,0.0,0.0,0.0,104660.24,124,2022-20,2022-05
124,11539.55,10942.55,20375.31,6934.39,19721.99,5268.85,9859.06,4482.87,521278.24,434346.67,1291327.77,380183.93,0.0,0.0,0.0,490361.96,125,2022-21,2022-05
125,9273.35,8667.83,20072.18,9412.24,15293.97,3983.16,9947.95,7204.48,1049273.86,779935.03,2082620.47,1381628.03,0.0,0.0,0.0,422474.48,126,2022-22,2022-06
126,4831.69,5276.06,10685.43,5220.91,4642.31,4175.98,10588.06,2654.03,2076840.58,1476844.0,1997558.41,2788938.31,0.0,0.0,0.0,313194.25,127,2022-23,2022-06
127,3991.99,2134.94,3679.26,1120.93,6006.53,1294.99,2727.37,1118.04,623539.37,387906.85,760316.22,648083.07,0.0,0.0,0.0,141299.06,128,2022-24,2022-06
